AOBJECTID,ASSET_NAME,SITE_NAME,CHILD_OF,ADDRESS,TYPE,USE_,DESCRIPTION,SQ_FEET,ACREAGE,ZIPCODE,ALLIAS,CHRONOLOGY,NOTES,DATE_EDITED,EDITED_BY,OCCUPANT,TENANT,LABEL
846,Convent Lane Residence,Fluehr Park,Fluehr Park,4725 CONVENT LA,Building,Historic House,Historic Building,814.3924576,0.01869595,19114,Convent Lane House, ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,FPHPT Lease,Convent Lane Residence
847,NE Philadelphia Older Adult Center Building,Northeast Older Adult Center,Northeast Older Adult Center,7522-24 CASTOR AVE,Building,Older Adult Center,,4103.926905,0.09421357,19111, , ,,12-Nov-13,Vanessa Miller,PPR,,NE Phila Older Adult Center 
848,Eden Hall Ice House,Fluehr Park,Fluehr Park,4800 GRANT AVE,Building,Multi-Use Bldg,Historic Building,815.6504296,0.01872483,19114, , ,,19-Dec-12,Vanessa Miller,PPR,,Eden Hall Ice House
849,Buttercup Cottage Barn Ruins,Wissahickon Valley Park,Wissahickon Valley Park,7498 CREISHAM VALLEY DR,Building,Historic House,Historic Building,1676.572608,0.03848896,19119, , ,,12-Nov-13,Vanessa Miller,PPR,,
850,Fluehr Park Maintenance Building,Fluehr Park,Fluehr Park,4715 CONVENT LA,Building,Garage\Maintenance\Storage Bldg,,2545.272699,0.05843165,19114, , ,,12-Nov-13,Vanessa Miller,PPR,,Fluehr Park
851,Jardel Recreation Center Building,Jardel Recreation Center,Jardel Recreation Center,1400 COTTMAN AVE,Building,Recreation Bldg,Historic Building,15400.32867,0.35354431,19111, , ,,12-Nov-13,Vanessa Miller,PPR,,Jardel  
852,Holme Playground Building,Holme Playground,Holme Playground,9152 ACADEMY RD,Building,Recreation Bldg,,1330.49762,0.03054414,19114, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,Penn Crisp,Holme  
853,Crispin Gardens Athletic Club,Holme Crispin Park,Pennypack Creek Park,2999 HOLME AVE,Building,Multi-Use Bldg,Multi-Use Bldg,1627.200938,0.03735554,19136, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,Crispin Gardens Athletic Club,Crispin Gardens Athletic Club
854,Simons Recreation Center Building,Simons Youth Center & Teen Center,Simons Youth Center & Teen Center,1601-35 E WALNUT LA,Building,Recreation Bldg,,60592.83899,1.39102574,19138, , ,,12-Nov-13,Vanessa Miller,PPR,,
855,Torresdale Playground Building,Torresdale Playground,Torresdale Playground,9550 FRANKFORD AVE,Building,Recreation Bldg,,2310.543038,0.05304298,19114, , ,,12-Nov-13,Vanessa Miller,PPR,,
856,Byrne Golf Course Clubhouse,John Byrne Golf Course,John Byrne Golf Course,9500 LEON ST,Building,Multi-Use Bldg,Multi-Use Bldg,8179.798903,0.1877831,19114, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,"Billy Casper Golf, LLC",Byrne Golf Course
857,Pelbano Recreation Center Building 1,Pelbano Playground,Pelbano Playground,8101 BUSTLETON AVE,Building,Recreation Bldg,,21602.09357,0.49591781,19152, , ,,12-Nov-13,Vanessa Miller,PPR,,Pelbano  
858,Northeast Older Adult Center,Pelbano Playground,Pelbano Playground,8101 BUSTLETON AVE,Building,Recreation Bldg,,13902.62474,0.31916162,19152, , ,,12-Nov-13,Vanessa Miller,PPR,,Pelbano  
859,Rex Avenue Comfort Station,Wissahickon Valley Park,Wissahickon Valley Park,8200 WISSAHICKON DR,Building,Restrooms,Historic Building,251.045316,0.00576323,19128, , ,,12-Nov-13,Vanessa Miller,PPR,,
860,Courtesy Stable Barn,Wissahickon Valley Park,Wissahickon Valley Park,901 CATHEDRAL DR,Building,Barn,Historic Building,4311.627884,0.09898175,19128, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,Boarders & Stewards of Courtesy Stables,
861,Courtesy Stables Springhouse,Wissahickon Valley Park,Wissahickon Valley Park,901 CATHEDRAL DR,Building,Stables,Historic Building,173.9363121,0.00399304,19128, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,Boarders & Stewards of Courtesy Stables,
862,Houston Playground Building,Houston Playground,Houston Playground,900 GRAKYN LA,Building,Recreation Bldg,,6200.358315,0.14234121,19128, , ,,12-Nov-13,Vanessa Miller,PPR,,Houston  
863,Burholme Golf Garage Building,Burholme Driving Range,Burholme Park,401 W COTTMAN AVE,Building,Garage\Maintenance\Storage Bldg,Golf Driving Range,560.9910302,0.01287863,19111, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,"Burholme Golf, Inc.",Burholme Park
864,Burholme Park Sport Facility,Burholme Park,Burholme Park,7370 CENTRAL AVE,Building,Multi-Use Bldg,Multi-Use Bldg,6858.86951,0.15745861,19111, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,"Northeast Optimist, Inc., (N.E.O.)",Burholme Park
865,Burholme Golf Main Building,Burholme Park,Burholme Park,401 W COTTMAN AVE,Building,Multi-Use Bldg,Multi-Use Bldg,3139.954493,0.07208372,19111, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,"Burholme Golf, Inc.",Burholme Park
866,Strahl Barn,Pennypack Creek Park,Pennypack Creek Park,8295 BUSTLETON AVE,Building,Barn,Historic Building,2907.99556,0.06675866,19152,, ,,19-Dec-12,Vanessa Miller,Lessee/Tenants,"Pegasus Riding Academy, Inc.",Strahl
867,Strahl House and Apartment,Pennypack Creek Park,Pennypack Creek Park,8295 BUSTLETON AVE,Building,Historic House,Historic Building,3331.719096,0.07648605,19152, , ,,19-Dec-12,Vanessa Miller,Lessee/Tenants,"Pegasus Riding Academy, Inc.",Strahl 
868,Axe Factory Office-Northeast Philly,Axe Factory Office-Northeast Philly,Pennypack Creek Park,8605 E ROOSEVELT BLV,Building,Multi-Use Bldg,Multi-Use Bldg,3082.983746,0.07077585,19152, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,FP NE Staff OL&M,Axe Factory Office-Northeast Philly
869,Pastorious Park Toilet Building,Pastorius Park,Pastorius Park,8201 MILLMAN ST,Building,Garage\Maintenance\Storage Bldg,Historic Building,1084.917592,0.02490638,19118, , ,,12-Nov-13,Vanessa Miller,PPR,,
870,Northeast Chamber of Commerce,Pennypack Creek Park,Pennypack Creek Park,8601 E ROOSEVELT BLV,Building,Multi-Use Bldg,Historic Building,1160.207922,0.02663482,19152,Ninety-Five Guard House, ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,Northeast Philadelphia Chamber of Commerce,Northeast Chamber of Commerce
871,Pegasus Main Building,Pennypack Creek Park,Pennypack Creek Park,8297 BUSTLETON AVE,Building,Multi-Use Bldg,Multi-Use Bldg,15219.94629,0.34940329,19152,Bells Corner Stable, ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,"Pegasus Riding Academy, Inc.",Pegasus Main 
872,Thomas Mill Road Comfort Station,Pennypack Creek Park,Pennypack Creek Park,8950 THOMAS MILL RD,Building,Restrooms,Historic Building,429.0326836,0.00984927,19118, , ,,19-Dec-12,Vanessa Miller,PPR,,Thomas Mill Road Comfort Station
873,Ryerss Museum & Library,Burholme Park,Burholme Park,7370 CENTRAL AVE,Building,Museum,Historic Building,7591.17864,0.17427018,19111, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,PR,Ryerss Museum & Library
874,Ryerss Springhouse,Burholme Park,Burholme Park,7370 CENTRAL AVE,Building,Historic House,Historic Building,263.1877595,0.00604198,19111, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,PR,Ryerss Springhouse
875,Ryerss Carriage House,Burholme Park,Burholme Park,7370 CENTRAL AVE,Building,Historic House,Historic Building,1420.239972,0.03260435,19111, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,PR,Ryerss Carriage House
876,Burholme Park Toilet Building,Burholme Park,Burholme Park,7500 CENTRAL AVE,Building,Multi-Use Bldg,Multi-Use Bldg,1879.353534,0.04314419,19111, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,PR,Burholme Park
877,Mitchell Playground Building,Mitchell Playground,Mitchell Playground,3694 CHESTERFIELD RD,Building,Recreation Bldg,,2173.601583,0.04989923,19114, , ,,12-Nov-13,Vanessa Miller,PPR,,Mitchell  
878,Water Tower Recreation Center Building,Water Tower Recreation Center,Water Tower Recreation Center,209-99 E HARTWELL LA,Building,Recreation Bldg,Historic Building,13066.23344,0.29996065,19118, , ,,12-Nov-13,Vanessa Miller,PPR,,
879,Solly 2nd Stable,Solly 2nd Stable,Pennypack Creek Park,1140 SOLLY AVE,Building,Stables,,1758.325485,0.04036576,19111, , ,,12-Nov-13,Vanessa Miller,PPR,,
880,Solly Quarrantine Stable,Solly Quarrantine Stable,Pennypack Creek Park,1140 SOLLY AVE,Building,Stables,,669.9432684,0.01537984,19111, , ,,12-Nov-13,Vanessa Miller,PPR,,
881,Solly Stable,Solly Stable,Pennypack Creek Park,1140 SOLLY AVE,Building,Stables,,4663.656828,0.10706326,19111, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,Solly Stables Riders Association,Solly Stable
882,Fox Chase Recreation Center Building,Fox Chase Playground,Fox Chase Playground,601 BORBECK AVE,Building,Recreation Bldg,,14345.58268,0.32933058,19111, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,FPHPT Lease,
883,Bells Mill Road Comfort Station,Wissahickon Valley Park,Wissahickon Valley Park,230 BELLS MILL RD,Building,Restrooms,Historic Building,303.3368461,0.00696368,19118, , ,,12-Nov-13,Vanessa Miller,PPR,,
884,Storage,Pennypack Creek Park,Pennypack Creek Park, ,Building,Garage\Maintenance\Storage Bldg,Historic Building,1324.655165,0.03041002,19152, , ,,12-Nov-13,Vanessa Miller,PPR,,
885,Wissahickon Environmental Center,Wissahickon Environmental Education Center,Wissahickon Valley Park,300 W NORTHWESTERN AVE,Building,Historic House,Historic Building,1253.485282,0.02877618,19128,Tree House, ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,FP Wissahickon Environmental Education Program,Wissahickon Environmental Center
886,Maternity B.V.M. Roman Catholic Church,Pennypack Creek Park,Pennypack Creek Park,9220 BUSTLETON AVE,Building,Historic House,Historic Building,4010.30138,0.09206422,19115, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,Maternity of the Blessed Virgin Mary,
887,Emanuel Recreation Center Building,Dorothy Emanuel Recreation and Teen Center,Dorothy Emanuel Recreation and Teen Center,8500 PICKERING AVE,Building,Recreation Bldg,,20612.85767,0.47320799,19150, , ,,12-Nov-13,Vanessa Miller,PPR,,
888,Emanuel Playground Building,Dorothy Emanuel Recreation and Teen Center,Dorothy Emanuel Recreation and Teen Center,8500 PICKERING AVE,Building,Recreation Bldg,,1707.50174,0.039199,19150, , ,,12-Nov-13,Vanessa Miller,PPR,,
889,Cedars House,Andorra Natural Area,Wissahickon Valley Park,200 NORTHWESTERN AVE,Building,Historic House,Historic Building,1833.397091,0.04208917,19128,Cedars House Café, ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,FPHPT Lease,Cedars House
890,Krewstown Road House,Pennypack Creek Park,Pennypack Creek Park,8600 KREWSTOWN RD,Building,Historic House,Historic Building,961.9672295,0.02208382,19115, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,369 Incorporated,
891,Krewstown Stables Barn,Pennypack Creek Park,Pennypack Creek Park,8640 KREWSTOWN RD,Building,Barn,Historic Building,12173.41467,0.27946426,19115, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,FP Staff Police,Krewstown Road House
892,Northwestern Stables,Wissahickon Valley Park,Wissahickon Valley Park,120 NORTHWESTERN AVE,Building,Stables,Historic Building,41330.27904,0.94881645,19118, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,"Northwestern Stable, Inc.",Northwestern Stables
893,Chalfont Playground Building,Chalfont Playground,Chalfont Playground,4336 DEERPATH LA,Building,Recreation Bldg,,4371.736815,0.10036167,19154, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,Our Lady of Calvary Athletic Assn,
894,Picariello Playground Building,Picariello Playground,Picariello Playground,3325 RED LION RD,Building,Recreation Bldg,,3240.497695,0.07439189,19154, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,Liberty Bell Youth Organization,
895,Verree Road Springhouse,Pennypack Creek Park,Pennypack Creek Park,8600 VERREE RD,Building,Historic House,Historic Building,317.2766386,0.0072837,19115, , ,,19-Dec-12,Vanessa Miller,PPR,,
896,Verree Road House,Pennypack Creek Park,Pennypack Creek Park,8600 VERREE RD,Building,Historic House,Historic Building,2512.466565,0.05767853,19115, , ,,19-Dec-12,Vanessa Miller,Lessee/Tenants,School District of Philadelphia,
897,Verree Road Picnic Area Toilet Building,Pennypack Creek Park,Pennypack Creek Park,8550 VERREE RD,Building,Garage\Maintenance\Storage Bldg,,914.9664845,0.02100482,19111, , ,,12-Nov-13,Vanessa Miller,PPR,,
898,Alberta Morris Pool,Alberta Morris Pool,Alberta Morris Pool,11000 ACADEMY RD,Building,Pool,,11161.43152,0.25623224,19154,Northeast Philadelphia Swim, ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,The Northeast Swim Coaches of Philadelphia,Alberta Morris Pool
899,Pine Road Toilet Building,Pennypack Creek Park,Pennypack Creek Park,8751 PINE RD,Building,Garage\Maintenance\Storage Bldg,Historic Building,575.6681366,0.01321557,19111, , ,,12-Nov-13,Vanessa Miller,PPR,,
900,PP Enviro Center Shed,Pennypack Environmental Education Center,Pennypack Creek Park,8600 VERREE RD,Building,Shed,,15.5467741,0.00035691,19115, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,FP Staff,
901,Pennypack Environmental Center,Pennypack Environmental Education Center,Pennypack Creek Park,8600 VERREE RD,Building,Environmental Education Center,,2651.50444,0.06087041,19115, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,FP Staff,Pennypack Environmental Center
902,Kline House,Pennypack Environmental Education Center,Pennypack Creek Park,8600 VERREE RD,Building,Historic House,Historic Building,909.3895453,0.02087679,19115, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,PR Vacant,Kline House
903,Kline House Garage,Pennypack Environmental Education Center,Pennypack Creek Park,8600 VERREE RD,Building,Garage\Maintenance\Storage Bldg,,434.5893357,0.00997684,19115, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,PR Vacant,
904,Fox Chase Farm Shed,Fox Chase Farm,Fox Chase Farm,8700 PINE RD,Building,Shed,Historic Building,400.3800422,0.0091915,19111,, ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,FPHPT Lease,
905,Fox Chase Farm Shed C,Fox Chase Farm,Fox Chase Farm,8700 PINE RD,Building,Shed,Historic Building,87.41218711,0.00200672,19111,, ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,FPHPT Lease,
906,Fox Chase Farm Outbuilding,Fox Chase Farm,Fox Chase Farm,8700 PINE RD,Building,Historic House,Historic Building,60.2965118,0.00138422,19111,, ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,FPHPT Lease,
907,Fox Chase Farm Equipment Barn & Pig Barn,Fox Chase Farm,Fox Chase Farm,8700 PINE RD,Building,Barn,Historic Building,2506.405305,0.05753938,19111,, ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,FPHPT Lease,
908,Fox Chase Farm Old Milkhouse,Fox Chase Farm,Fox Chase Farm,8700 PINE RD,Building,Historic House,Historic Building,606.021538,0.0139124,19111, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,FPHPT Lease,
909,Fox Chase Farm Livestock Barn,Fox Chase Farm,Fox Chase Farm,8700 PINE RD,Building,Barn,Historic Building,1916.882846,0.04400575,19111, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,FPHPT Lease,
910,Fox Chase Farm Garage,Fox Chase Farm,Fox Chase Farm,8700 PINE RD,Building,Garage\Maintenance\Storage Bldg,Historic Building,1224.929127,0.02812062,19111, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,FPHPT Lease,
911,Fox Chase Farm Farmer's House,Fox Chase Farm,Fox Chase Farm,8700 PINE RD,Building,Historic House,Historic Building,1601.267904,0.0367602,19111, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,FPHPT Lease,
912,Fox Chase Farm Wood Shed,Fox Chase Farm,Fox Chase Farm,8700 PINE RD,Building,Shed,Historic Building,312.4651214,0.00717324,19111, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,FPHPT Lease,
913,Fox Chase Farm Shed,Fox Chase Farm,Fox Chase Farm,8700 PINE RD,Building,Shed,Historic Building,113.6711513,0.00260954,19111, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,FPHPT Lease,
914,Fox Chase Farm Sheepbarn,Fox Chase Farm,Fox Chase Farm,8700 PINE RD,Building,Barn,Historic Building,1483.264436,0.0340512,19111, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,FPHPT Lease,
915,Fox Chase Farm Shed B,Fox Chase Farm,Fox Chase Farm,8700 PINE RD,Building,Shed,Historic Building,116.1104485,0.00266554,19111, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,FPHPT Lease,
916,Fox Chase Farm Manor House,Fox Chase Farm,Fox Chase Farm,8700 PINE RD,Building,Historic House,Historic Building,2376.681358,0.05456131,19111, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,FPHPT Lease,
917,Fox Chase Farm Springhouse,Fox Chase Farm,Fox Chase Farm,8700 PINE RD,Building,Historic House,Historic Building,465.5295286,0.01068713,19111, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,FPHPT Lease,
918,Hayes Playground Building,Hayes Playground,Hayes Playground,9850 E ROOSEVELT BLV,Building,Recreation Bldg,,3576.425744,0.08210377,19115, , ,,12-Nov-13,Vanessa Miller,PPR,,
919,Palmer Playground Building,Palmer Playground,Palmer Playground,11701 THORNTON RD,Building,Recreation Bldg,,3162.486688,0.07260099,19154, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,Far NE Athletic Assn,
920,Fitzpatrick Playground Building,Fitzpatrick Playground,Fitzpatrick Playground,3500 ACADEMY RD,Building,Recreation Bldg,,3287.164302,0.07546321,19154, , ,,12-Nov-13,Vanessa Miller,PPR,,
921,Lackman Playground Building,Lackman Playground,Lackman Playground,800 BARTLETT ST,Building,Recreation Bldg,,4017.061945,0.09221942,19115, , ,,12-Nov-13,Vanessa Miller,PPR,,
922,Junod Playground Building,Junod Playground,Junod Playground,3102 MECHANICSVILLE RD,Building,Recreation Bldg,,4689.36195,0.10765337,19154, , ,,12-Nov-13,Vanessa Miller,PPR,,
923,Gifford Playground Building,Gifford Playground,Gifford Playground,575 TOMLINSON RD,Building,Recreation Bldg,,1760.502325,0.04041573,19116, , ,,12-Nov-13,Vanessa Miller,PPR,,
924,Boyle Playground Building,"Boyle, Daniel Recreation Center","Boyle, Daniel Recreation Center",13024 STEVENS RD,Building,Recreation Bldg,,3785.456688,0.08690248,19116, , ,,12-Nov-13,Vanessa Miller,PPR,,
925,Lonnie Young Recreation Center Building,Lonnie Young Recreation Center,Lonnie Young Recreation Center,1100 E CHELTEN AVE,Building,Recreation Bldg,Historic Building,19727.62462,0.45288576,19138, , ,,12-Nov-13,Vanessa Miller,PPR,,
926,Fox Chase Farm Milkhouse,Fox Chase Farm,Fox Chase Farm,8700 PINE RD,Building,Historic House,Historic Building,889.6120087,0.02042276,19111, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,FPHPT Lease,
927,Fox Chase Farm Hay Barn & Livestock Barn,Fox Chase Farm,Fox Chase Farm,8700 PINE RD,Building,Barn,Historic Building,3873.8087,0.08893077,19111, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,FPHPT Lease,
928,New Mill House,Water Works,East Fairmount Park, ,Building,Historic House,Historic Building,21324.18778,0.48953795,19130, , ,,12-Nov-13,Vanessa Miller,PPR,,
929,Watering Committee Building,Water Works,East Fairmount Park,670 AQUARIUM DR,Building,Historic House,Historic Building,1030.83538,0.02366482,19130, , ,,12-Nov-13,Vanessa Miller,PPR,,
930,Old Mill House,Water Works,East Fairmount Park, ,Building,Historic House,Historic Building,18823.9108,0.43213926,19130, , ,,12-Nov-13,Vanessa Miller,PPR,,
931,Water Works North Entrance House,Water Works,East Fairmount Park, ,Building,Historic House,Historic Building,820.0701642,0.0188263,19130, , ,,12-Nov-13,Vanessa Miller,PPR,,
932,Water Works South Entrance House,Water Works,East Fairmount Park, ,Building,Historic House,Historic Building,677.3256652,0.01554932,19130,Waterworks Interpretive Center, ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,Water Department,
933,Water Works Careaker's House,Water Works,East Fairmount Park, ,Building,Multi-Use Bldg,Multi-Use Bldg,946.6540881,0.02173227,19130, , ,,12-Nov-13,Vanessa Miller,PPR,,
934,West Oak Lane Senior Center Building,West Oak Lane Senior Center,Simons Youth Center & Teen Center,7210 OGONTZ AVE,Building,Older Adult Center,,6409.198488,0.14713554,19138, , ,,12-Nov-13,Vanessa Miller,PPR,,
935,Athletic Recreation Center Building,Athletic Recreation Center,Athletic Recreation Center,1450 N 26TH ST,Building,Recreation Bldg,Historic Building,13635.15327,0.3130213,19121, , ,,12-Nov-13,Vanessa Miller,PPR,,
936,Utilities Shed,Mifflin Square,Mifflin Square,Ritner St & 5th St,Building,Shed,,139.3650384,0.00319939,19148, , ,,12-Nov-13,Vanessa Miller,PPR,,
937,FDR Park Tennis Court Shelter,Franklin D. Roosevelt Park,Franklin D. Roosevelt Park,3780 FDR PKY,Structure,Pavilion\Shelter,,519.5691979,0.01192772,19145, , ,,12-Nov-13,Vanessa Miller,PPR,,FDR Park
938,FDR Park Gazebo,Franklin D. Roosevelt Park,Franklin D. Roosevelt Park,1750 FDR PKY,Structure,Pavilion\Shelter,,557.3078538,0.01279408,19145, , ,,12-Nov-13,Vanessa Miller,PPR,,FDR Park
939,Eastwick Regional Park Pavilion,Eastwick Regional Park Playground,Eastwick Regional Park ,80TH ST & MARS PL,Structure,Pavilion\Shelter,,5563.238468,0.12771489,19153, , ,,12-Nov-13,Vanessa Miller,PPR,,Eastwick Regional Park Pavilion
940,Connell Park Pavilion,Connell Park,Connell Park,6401 ELMWOOD AVE,Structure,Pavilion\Shelter,,2519.475613,0.05783943,19142, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,(Schools Without Borders) ACES Million Books,Connell Park
941,Guard Box @ Washington Square,Washington Square,Washington Square, ,Structure,Guard Box,Historic Structure,165.2298848,0.00379317,19106, , ,,12-Nov-13,Vanessa Miller,PPR,,
942,Guard Box @ Rittenhouse Square,Rittenhouse Square,Rittenhouse Square,1800 WALNUT ST,Structure,Guard Box,Historic Structure,249.9680696,0.0057385,19103, , ,,12-Nov-13,Vanessa Miller,PPR,,
943,Water Works Gazebo above Aquarium Drive,Water Works,East Fairmount Park,2801 ART MUSEUM DR,Structure,Pavilion\Shelter,Historic Structure,249.8351227,0.00573545,19130, , ,,12-Nov-13,Vanessa Miller,PPR,,
944,Boat Cover (Bachelors Barge),East Fairmount Park,East Fairmount Park,5 JOHN B KELLY DR,Structure,Pavilion\Shelter,,346.902563,0.00796382,19130, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,"Bachelors Barge Club, land lease only",
945,Boat Cover (Bachelors Barge),East Fairmount Park,East Fairmount Park,5 JOHN B KELLY DR,Structure,Pavilion\Shelter,,315.8970176,0.00725203,19130, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,"Bachelors Barge Club, land lease only",
946,Cobbs Creek Golf Course Storm Shelter,Cobbs Creek & Karakung Golf Course,Cobbs Creek Park,7850 CITY LINE AVE,Structure,Pavilion\Shelter,Golf Course,145.1726477,0.00333272,19151, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,"Billy Casper Golf, LLC",CC Golf Course
947,Lemon Hill Pavilion,Lemon Hill,East Fairmount Park,801 LEMON HILL DR,Structure,Pavilion\Shelter,Historic Building,1431.836226,0.03287057,19130, , ,,12-Nov-13,Vanessa Miller,PPR,,Lemon Hill
948,Cobbs Creek Golf Course Shelter@14th Green,Cobbs Creek & Karakung Golf Course,Cobbs Creek Park,7800 CITY LINE AVE,Structure,Pavilion\Shelter,Golf Course,514.2738614,0.01180615,19151, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,"Billy Casper Golf, LLC",CC Golf Course
949,Picnic Pavilion Lansdowne Drive,West Fairmount Park,West Fairmount Park,3940 LANSDOWNE DR,Structure,Pavilion\Shelter,,926.3763721,0.02126676,19131, , ,,19-Dec-12,Vanessa Miller,PPR,,
950,Parkside Shelter,West Fairmount Park,West Fairmount Park,5101 PARKSIDE AVE,Structure,Pavilion\Shelter,,560.7886034,0.01287399,19131, , ,,12-Nov-13,Vanessa Miller,PPR,,
951,East Park Driving Range Canopy,33rd & Oxford Driving Range,East Fairmount Park,3300 RESERVOIR DR,Structure,Pavilion\Shelter,Golf Driving Range,1513.118376,0.03473656,19121, , ,,12-Nov-13,Vanessa Miller,PPR,,Driving Range Canopy
952,Smith Playground Shelter,Smith Playground,Smith Playground,3500 RESERVOIR DR,Structure,Pavilion\Shelter,,734.9672866,0.01687259,19121, , ,,12-Nov-13,Vanessa Miller,PPR,,
953,Smith Playground Slide and Pavilion,Smith Playground,Smith Playground,3500 RESERVOIR DR,Structure,Pavilion\Shelter,Historic Structure,2527.501358,0.05802368,19121, , ,,12-Nov-13,Vanessa Miller,PPR,,
954,Pavilion in the Trees,West Fairmount Park,West Fairmount Park,4160 HORTICULTURAL DR,Structure,Pavilion\Shelter,,262.5548061,0.00602745,19131, , ,,12-Nov-13,Vanessa Miller,PPR,,Pavilion in the Trees
955,Horticultural Center Gazebo,Horticulture Center,West Fairmount Park,4200 HORTICULTURAL DR,Structure,Pavilion\Shelter,,410.0885614,0.00941438,19131, , ,,12-Nov-13,Vanessa Miller,PPR,,
956,Guard Box @ Ohio House,West Fairmount Park,West Fairmount Park,1750 BELMONT AVE,Structure,Guard Box,Historic Structure,193.4406889,0.0044408,19131, , ,,12-Nov-13,Vanessa Miller,PPR,,
957,North Georges Hill Picnic Pavilion,West Fairmount Park,West Fairmount Park,5301 N GEORGES HILL DR,Structure,Pavilion\Shelter,,1976.410242,0.04537232,19131, , ,,12-Nov-13,Vanessa Miller,PPR,,
958,Guard Box B @ Car Barn,West Fairmount Park,West Fairmount Park,4101 MONTGOMERY AVE,Structure,Guard Box,Historic Structure,185.3569238,0.00425523,19131, , ,,12-Nov-13,Vanessa Miller,PPR,,
959,Guard Box A @ Car Barn,West Fairmount Park,West Fairmount Park,4101 MONTGOMERY AVE,Structure,Guard Box,Historic Structure,154.2721494,0.00354162,19131, , ,,12-Nov-13,Vanessa Miller,PPR,,
960,Guard Box 3 @ Car Barn,West Fairmount Park,West Fairmount Park,4101 MONTGOMERY AVE,Structure,Guard Box,Historic Structure,120.1062641,0.00275727,19131, , ,,12-Nov-13,Vanessa Miller,PPR,,
961,Guard Box 2 @ Car Barn,West Fairmount Park,West Fairmount Park,4101 MONTGOMERY AVE,Structure,Guard Box,Historic Structure,84.09375568,0.00193053,19131, , ,,12-Nov-13,Vanessa Miller,PPR,,
962,Guard Box 1 @ Car Barn,West Fairmount Park,West Fairmount Park,4101 MONTGOMERY AVE,Structure,Guard Box,Historic Structure,38.02325389,0.0008729,19131, , ,,12-Nov-13,Vanessa Miller,PPR,,
963,Belmont Mansion Gazebo,West Fairmount Park,West Fairmount Park,2000 BELMONT MANSION DR,Structure,Pavilion\Shelter,,45.59635015,0.00104675,19131, , ,,12-Nov-13,Vanessa Miller,PPR,,
