AOBJECTID,ASSET_NAME,SITE_NAME,CHILD_OF,ADDRESS,TYPE,USE_,DESCRIPTION,SQ_FEET,ACREAGE,ZIPCODE,ALLIAS,CHRONOLOGY,NOTES,DATE_EDITED,EDITED_BY,OCCUPANT,TENANT,LABEL
579,Shissler Recreation Center Building,Shissler Recreation Center,Shissler Recreation Center,1800-56 BLAIR ST,Building,Recreation Bldg,,13249.55507,0.30416915,19125, , ,,12-Nov-13,Vanessa Miller,PPR,,
580,Cliffs House Ruins,East Fairmount Park,East Fairmount Park,3400 RESERVOIR DR,Building,Historic House,Historic Structure,751.5506352,0.0172533,19121, , ,,12-Nov-13,Vanessa Miller,PPR,,Cliffs House Ruins
581,Memorial Hall,Memorial Area,West Fairmount Park,4231 N CONCOURSE DR,Building,Museum,Historic Building,75313.54474,1.728968,19131, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,Please Touch Museum,Memorial Hall
582,East Park Driving Range Garage Building,33rd & Oxford Driving Range,East Fairmount Park, ,Building,Garage\Maintenance\Storage Bldg,Golf Driving Range,889.4962264,0.02042011,19121, , ,,12-Nov-13,Vanessa Miller,PPR,,Driving Range Garage 
583,Towey Recreation Center Building,Towey Playground,Towey Playground,1832-50 N HOWARD ST,Building,Recreation Bldg,,9159.539299,0.21027493,19122, , ,,12-Nov-13,Vanessa Miller,PPR,,
584,Tugboat House at Belmont Landing,West Fairmount Park,West Fairmount Park,1399 WEST RIVER DR,Building,Historic House,Historic Building,1314.576619,0.03017865,19131,Tugboat House, ,,19-Dec-12,Vanessa Miller,Lessee/Tenants,"Phila Rowing Program for the Disabled, Inc.",
585,East Park Driving Range Toilet Building,33rd & Oxford Driving Range,East Fairmount Park,3300 RESERVOIR DR,Building,Garage\Maintenance\Storage Bldg,Golf Driving Range,200.9088631,0.00461225,19121, , ,,12-Nov-13,Vanessa Miller,PPR,,Driving Range Toilet 
586,Tustin Playground Building,Tustin Playground,Tustin Playground,5901-29 W COLUMBIA AVE,Building,Recreation Bldg,,3345.3943,0.07679999,19151, , ,,12-Nov-13,Vanessa Miller,PPR,,
587,East Park Driving Range Office Building,33rd & Oxford Driving Range,East Fairmount Park,3300 RESERVOIR DR,Building,Multi-Use Bldg,Golf Driving Range,1810.743147,0.04156911,19121, , ,,12-Nov-13,Vanessa Miller,PPR,,Driving Range Office 
588,Japanese House Tool Shed,Japanese Gardens,West Fairmount Park,4301 LANSDOWNE DR,Building,Shed,Historic Building,147.709465,0.00339096,19131, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,Friends of the Japanese House and Garden,
589,Japanese House and Garden,Japanese Gardens,West Fairmount Park,4301 LANSDOWNE DR,Building,Historic House,Historic Building,3693.683362,0.08479564,19131, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,Friends of the Japanese House and Garden,Shofuso
590,Japanese House Ticket Window,Japanese Gardens,West Fairmount Park,4301 LANSDOWNE DR,Building,Concessions\Retail\Cafe,Historic Building,230.7566075,0.00529746,19131, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,Friends of the Japanese House and Garden,
591,Martin Luther King Recreation Center Building,Martin Luther King Recreation Center,Martin Luther King Recreation Center,2101-35 CECIL B MOORE AVE,Building,Recreation Bldg,,25629.95522,0.58838516,19121, , ,,12-Nov-13,Vanessa Miller,PPR,,King  
592,Parkside-Evans Recreation Center Building,Parkside-Evans Recreation Center,West Fairmount Park,5301 PARKSIDE AVE,Building,Recreation Bldg,,1912.813497,0.04391233,19131, , ,,12-Nov-13,Vanessa Miller,PPR,,
593,Smith Memorial Playground Building,Smith Memorial Playground,East Fairmount Park,3500 RESERVOIR DR,Building,Recreation Bldg,Historic Building,5692.777244,0.13068871,19121, , ,,12-Nov-13,Vanessa Miller,PPR,,Smith
594,Smith Memorial Playhouse Pool Building,Smith Memorial Playground,East Fairmount Park,3500 RESERVOIR DR,Building,Garage\Maintenance\Storage Bldg,,124.3105904,0.00285379,19121, , ,,12-Nov-13,Vanessa Miller,PPR,,
595,Guard Box @ Sherwood and 66th,Cobbs Creek Park,Cobbs Creek Park,6601 SHERWOOD RD,Building,Multi-Use Bldg,Historic Building,124.7024134,0.00286278,19151, , ,,12-Nov-13,Vanessa Miller,PPR,,
596,Amos Playground Building,Amos Playground,Amos Playground,1817-59 N 16TH ST,Building,Recreation Bldg,,7466.08855,0.17139849,19121, , ,,12-Nov-13,Vanessa Miller,PPR,,Amos
597,Horticultural Center former Restroom,Horticulture Center,West Fairmount Park,4200 HORTICULTURAL DR,Building,Restrooms,,434.9428114,0.00998495,19131, , ,,12-Nov-13,Vanessa Miller,PPR,,
598,Horticultural Center former Restroom,Horticulture Center,West Fairmount Park,4200 HORTICULTURAL DR,Building,Restrooms,,449.5690677,0.01032073,19131, , ,,12-Nov-13,Vanessa Miller,PPR,,
599,Mann Music Center Auxiliary Building,West Fairmount Park,West Fairmount Park,5201 PARKSIDE AVE,Building,Garage\Maintenance\Storage Bldg,,3359.385219,0.07712118,19131, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,"Fredrick R. Mann Music Center, Inc.",
600,Mann Music Center,West Fairmount Park,West Fairmount Park,5201 PARKSIDE AVE,Building,Stage\Stands,Performance Venue,50890.92186,1.16829948,19131, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,"Fredrick R. Mann Music Center, Inc.",Mann Music Center
601,Mount Pleasant South Necessary,East Fairmount Park,East Fairmount Park,3800 MT PLEASANT DR,Building,Historic House,Historic Building,154.8329184,0.00355449,19121, , ,,19-Dec-12,Vanessa Miller,PPR,,
602,Cione Playground Building,Cione Playground,Cione Playground,2600 ARAMINGO AVE,Building,Recreation Bldg,,4855.399444,0.11146508,19125, , ,,12-Nov-13,Vanessa Miller,PPR,,Cione  
603,Mount Pleasant South Dependency,East Fairmount Park,East Fairmount Park,3800 MT PLEASANT DR,Building,Historic House,Historic Building,578.7079691,0.01328536,19121, , ,,19-Dec-12,Vanessa Miller,PPR,,
604,Mount Pleasant Mansion,East Fairmount Park,East Fairmount Park,3800 MT PLEASANT DR,Building,Historic House,Historic Building,1959.951888,0.04499448,19121, , ,,19-Dec-12,Vanessa Miller,Lessee/Tenants,Philadelphia Museum of Art,Mount Pleasant Mansion
605,Horticultural Center Offices and Greenhouses,Horticulture Center,West Fairmount Park,4200 HORTICULTURAL DR,Building,Greenhouse\Nursary,Multi-Use Bldg,39909.00271,0.9161883,19131, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,"Starr Restaurnat, FP District Office",Horticulture Center
606,Mount Pleasant Maintenance Garage,East Fairmount Park,East Fairmount Park,3780 MT PLEASANT DR,Building,Garage\Maintenance\Storage Bldg,Historic Building,966.6784656,0.02219197,19121, , ,,12-Nov-13,Vanessa Miller,PPR,,
607,Mann Music Center Building,West Fairmount Park,West Fairmount Park,5201 PARKSIDE AVE,Building,Historic House,Historic Building,459.6293131,0.01055168,19131, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,"Fredrick R. Mann Music Center, Inc.",
608,Mount Pleasant North Dependency,East Fairmount Park,East Fairmount Park,3800 MT PLEASANT DR,Building,Historic House,Historic Building,577.5186055,0.01325806,19121, , ,,19-Dec-12,Vanessa Miller,PPR,,
609,Mann Music Center Building,West Fairmount Park,West Fairmount Park,5201 PARKSIDE AVE,Building,Historic House,Historic Building,580.7483665,0.0133322,19131, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,"Fredrick R. Mann Music Center, Inc.",
610,Mount Pleasant North Necessary,East Fairmount Park,East Fairmount Park,3800 MT PLEASANT DR,Building,Historic House,Historic Building,137.198106,0.00314965,19121, , ,,19-Dec-12,Vanessa Miller,PPR,,
611,Mann Music Center Restrooms,West Fairmount Park,West Fairmount Park,5201 PARKSIDE AVE,Building,Restrooms,,2105.779463,0.04834224,19131, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,"Fredrick R. Mann Music Center, Inc.",
612,Mann Music Center Concession Building,West Fairmount Park,West Fairmount Park,5201 PARKSIDE AVE,Building,Concessions\Retail\Cafe,Historic Building,3058.087828,0.07020432,19131, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,"Fredrick R. Mann Music Center, Inc.",
613,Dairy Fields Restrooms,Dairy Fields,Wissahickon Valley Park,3785 MT PLEASANT DR,Building,Restrooms,Historic Building,1138.999053,0.02614792,19121, , ,,12-Nov-13,Vanessa Miller,PPR,,
614,Stokley Playground Building,Stokely Playground,Stokely Playground,3000 EDGEMONT ST,Building,Recreation Bldg,,740.4781582,0.01699911,19134, , ,,12-Nov-13,Vanessa Miller,PPR,,
615,Horticultural Center Boiler Room,Horticulture Center,West Fairmount Park,4202 HORTICULTURAL DR,Building,Garage\Maintenance\Storage Bldg,,585.4226088,0.01343951,19131, , ,,12-Nov-13,Vanessa Miller,PPR,,
616,South Georges Hill Restrooms,West Fairmount Park,West Fairmount Park,5050 S GEORGES HILL DR,Building,Restrooms,Historic Building,1854.507348,0.0425738,19131, , ,,19-Dec-12,Vanessa Miller,PPR,,
617,Park Trolley Headquarters,West Fairmount Park,West Fairmount Park,4121 HORTICULTURAL DR,Building,Garage\Maintenance\Storage Bldg,,564.7137026,0.01296409,19131, , ,,12-Nov-13,Vanessa Miller,PPR,,Park Trolley Headquarters
618,8th & Diamond Playground Building,8th & Diamond Playground,8th & Diamond Playground,2032-62 N 08TH ST,Building,Recreation Bldg,,3627.272633,0.08327105,19122, , ,,12-Nov-13,Vanessa Miller,PPR,,8th & Diamond  
619,Ohio House,West Fairmount Park,West Fairmount Park,1700 BELMONT AVE,Building,Historic House,Historic Building,2294.781832,0.05268115,19131, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,FPHPT Lease,Ohio House
620,Kelly Drive Comfort Station,East Fairmount Park,East Fairmount Park,1701 JOHN B KELLY DR,Building,Restrooms,Historic Building,409.1335737,0.00939245,19121, , ,,12-Nov-13,Vanessa Miller,PPR,,
621,Judges Tower,East Fairmount Park,East Fairmount Park,1700 JOHN B KELLY DR,Building,Stage\Stands,,354.1894666,0.0081311,19121, , ,,12-Nov-13,Vanessa Miller,PPR,,Judges Tower
622,Monkiewicz Playground Building,Monkiewicz Playground,Monkiewicz Playground,3201 RICHMOND ST,Building,Recreation Bldg,,4538.441046,0.10418869,19134, , ,,12-Nov-13,Vanessa Miller,PPR,,Monkiewicz  
623,Pop's Playground Building,Pop's Playground,Pop's Playground,2150-72 E HUNTINGDON ST,Building,Recreation Bldg,Historic Building,1148.180096,0.02635869,19125, , ,,12-Nov-13,Vanessa Miller,PPR,,
624,Reviewing Stand on Kelly Drive,East Fairmount Park,East Fairmount Park,1700 JOHN B KELLY DR,Building,Stage\Stands,Historic Building,2866.294109,0.06580132,19121, , ,,12-Nov-13,Vanessa Miller,PPR,,Reviewing Stand on Kelly Drive
625,Rockland Mansion,East Fairmount Park,East Fairmount Park,3810 MT PLEASANT DR,Building,Historic House,Historic Building,2286.488721,0.05249077,19121, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,FPHPT Lease,Rockland Mansion
626,Cohocksink Recreation Center Building,Cohocksink Recreation Center,Cohocksink Recreation Center,2901 CEDAR ST,Building,Recreation Bldg,,11527.08018,0.26462641,19134, , ,,12-Nov-13,Vanessa Miller,PPR,,Cohocksink  
627,Southern Maintenance Headquarters,West Fairmount Park,West Fairmount Park,4100 MONTGOMERY DR,Building,Garage\Maintenance\Storage Bldg,Historic Building,14790.48527,0.33954418,19131,Building Maintenance Headquarters, ,,12-Nov-13,Vanessa Miller,PPR,,Southern Maintenance Headquarters
628,Belmont Plateau Concession Building & Restrooms,Belmont Plateau,West Fairmount Park,4201 MONTGOMERY DR,Building,Restrooms,Multi-Use Bldg,3660.609769,0.08403637,19131, , ,,12-Nov-13,Vanessa Miller,PPR,,Belmont Plateau
629,Gathers Recreation Center Building,Gathers Recreation Center,Gathers Recreation Center,2501-59 DIAMOND ST,Building,Recreation Bldg,,10002.26869,0.22962141,19121, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,Clara Baldwin,Gathers  
630,Frank Glavin Playground Building,Frank Glavin Playground,Frank Glavin Playground,3267-81 ALMOND ST,Building,Recreation Bldg,,3173.959496,0.07286438,19134, , ,,12-Nov-13,Vanessa Miller,PPR,,Frank Glavin  
631,Ormiston,East Fairmount Park,East Fairmount Park,2000 RESERVOIR DR,Building,Historic House,Historic Building,1982.896637,0.04552123,19121,Ormiston Mansion, ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,Royal Heritage Society of Delaware Valley,Ormiston
632,West River Drive Stables,West Fairmount Park,West Fairmount Park,1802 WEST RIVER DR,Building,Stables,Historic Building,5460.778453,0.12536272,19131,Belmont Stable, ,,19-Dec-12,Vanessa Miller,Lessee/Tenants,"Bill Pickett Riding Academy, Inc.",West River Drive Stables
633,Car Barn,West Fairmount Park,West Fairmount Park,4221 MONTGOMERY DR,Building,Barn,,43925.29034,1.00838995,19131, , ,,12-Nov-13,Vanessa Miller,PPR,,CarBarn
634,Boelson Cottage,West Fairmount Park,West Fairmount Park,1814 WEST RIVER DR,Building,Historic House,Historic Building,751.9404492,0.01726225,19131,Boelson House, ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,FP Staff,Boelson Cottage
635,"Carbarn Compound Office, Construction Division HQ",West Fairmount Park,West Fairmount Park,4101 MONTGOMERY DR,Building,Multi-Use Bldg,Multi-Use Bldg,2650.449011,0.06084618,19131, , ,,12-Nov-13,Vanessa Miller,PPR,,
636,Mander Playground Building,Mander Playground,East Fairmount Park,2102 N 33RD ST,Building,Recreation Bldg,,6855.699109,0.15738582,19132, , ,,12-Nov-13,Vanessa Miller,PPR,,Mander Pool
637,Mander Playground Pool Building,Mander Playground,East Fairmount Park,2102 N 33RD ST,Building,Recreation Bldg,,1351.788146,0.03103291,19132, , ,,12-Nov-13,Vanessa Miller,PPR,,Mander Pool
